Task,Timestamp,isGrabbing,ControllerPosition,ControllerRotation,ObjectPosition,ObjectRotation,DistanceMismatchX,DistanceMismatchY,DistanceMismatchZ,RotationMismatchX,RotationMismatchY,RotationMismatchZ
1,2023-06-01 18:46:48.489,True,(0.04;20.92;-83.56),(1.86;-47.09;53.58),(-0.12;20.61;-83.17),(15.70;86.98;8.05),0.70,0.02,0.16,65.46,17.60,64.11
1,2023-06-01 18:46:48.499,True,(0.03;20.92;-83.56),(1.55;-47.97;52.16),(-0.13;20.61;-83.18),(16.93;86.36;8.86),0.69,0.02,0.15,66.51,19.05,64.86
1,2023-06-01 18:46:48.511,True,(0.02;20.92;-83.57),(1.09;-49.04;51.54),(-0.15;20.61;-83.19),(17.70;85.34;8.97),0.67,0.01,0.14,67.67,19.78,65.94
1,2023-06-01 18:46:48.523,True,(0.02;20.93;-83.57),(0.55;-49.87;50.86),(-0.16;20.61;-83.20),(18.57;84.55;9.06),0.66,0.01,0.13,68.61,20.59,66.81
1,2023-06-01 18:46:48.533,True,(0.01;20.93;-83.58),(-0.25;-50.53;49.82),(-0.18;20.62;-83.21),(19.86;83.95;9.22),0.64,0.01,0.13,69.46,21.82,67.56
1,2023-06-01 18:46:48.544,True,(0.00;20.93;-83.58),(-1.22;-50.76;48.50),(-0.19;20.62;-83.21),(21.49;83.79;9.47),0.63,0.01,0.12,69.96,23.39,67.95
1,2023-06-01 18:46:48.555,True,(-0.01;20.93;-83.59),(-2.44;-50.50;47.07),(-0.21;20.62;-83.22),(23.36;84.06;9.62),0.61,0.01,0.11,70.03,25.16,68.02
1,2023-06-01 18:46:48.567,True,(-0.02;20.93;-83.59),(-3.57;-50.33;45.79),(-0.22;20.63;-83.22),(25.07;84.20;9.72),0.60,0.00,0.11,70.19,26.77,68.20
1,2023-06-01 18:46:48.579,True,(-0.03;20.93;-83.59),(-4.65;-50.01;45.43),(-0.23;20.63;-83.23),(26.07;84.25;9.15),0.59,0.00,0.10,70.02,27.52,68.35
1,2023-06-01 18:46:48.589,True,(-0.04;20.94;-83.59),(-5.61;-50.02;45.13),(-0.24;20.63;-83.23),(26.95;83.97;8.60),0.58,0.00,0.10,70.14,28.19,68.77
